epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,373.734,2.17349,2.28638,1.18056,0.09893,0.09492,0.0394,0.01526,3.00545,3.07929,1.41918,0.000693305,0.000693305,0.000693305
61,380,2.25578,2.1825,1.19391,0.09498,0.09211,0.03513,0.01279,3.07067,2.90638,1.39229,0.000676802,0.000676802,0.000676802
62,386.208,2.291,2.36008,1.24144,0.0835,0.08271,0.02828,0.00916,3.10881,2.89599,1.3829,0.000660299,0.000660299,0.000660299
63,392.431,2.13441,2.11557,1.21911,0.09364,0.09023,0.03293,0.01231,3.03659,2.89114,1.37113,0.000643795,0.000643795,0.000643795
64,398.544,2.26444,2.36404,1.20952,0.59,0.08553,0.03718,0.01482,2.96744,2.97005,1.3742,0.000627292,0.000627292,0.000627292
65,404.731,2.21987,2.50945,1.23253,0.59682,0.08599,0.04322,0.01653,2.96835,2.98526,1.37264,0.000610789,0.000610789,0.000610789
66,411.057,2.154,2.14424,1.21155,0.61709,0.09398,0.04694,0.01795,2.95519,2.87512,1.38107,0.000594286,0.000594286,0.000594286
67,417.282,2.36034,2.43408,1.31116,0.61379,0.09211,0.03916,0.01225,3.03933,2.89359,1.42312,0.000577782,0.000577782,0.000577782
68,423.41,2.45551,2.74563,1.30022,0.10866,0.05451,0.03343,0.01122,2.99816,3.04351,1.41677,0.000561279,0.000561279,0.000561279
69,429.591,2.24559,2.23933,1.17092,0.11035,0.08083,0.04315,0.01546,3.01715,2.9668,1.40487,0.000544776,0.000544776,0.000544776
70,435.784,2.17539,2.03206,1.14405,0.10674,0.0968,0.05712,0.02223,2.99161,2.96949,1.37907,0.000528272,0.000528272,0.000528272
71,441.981,2.18753,2.49882,1.20164,0.10954,0.10244,0.05623,0.0217,2.97737,2.97395,1.38751,0.000511769,0.000511769,0.000511769
72,448.215,2.16737,2.2972,1.15779,0.09726,0.09305,0.03732,0.01467,2.97801,2.99747,1.39868,0.000495266,0.000495266,0.000495266
73,454.373,2.25081,2.51296,1.20239,0.11424,0.06579,0.03479,0.01396,2.96102,3.04981,1.40358,0.000478762,0.000478762,0.000478762
74,460.641,2.32892,2.46601,1.20758,0.09639,0.05733,0.03128,0.01146,2.93997,3.19735,1.41725,0.000462259,0.000462259,0.000462259
75,466.872,2.25259,2.21794,1.21869,0.07284,0.10432,0.03238,0.01251,2.91475,3.20166,1.42356,0.000445756,0.000445756,0.000445756
76,473.09,2.1891,2.12862,1.21143,0.10648,0.07989,0.036,0.01386,2.9142,3.20168,1.43565,0.000429253,0.000429253,0.000429253
77,479.29,2.29577,2.2614,1.19467,0.11698,0.10526,0.05362,0.02146,2.95321,3.11024,1.42759,0.000412749,0.000412749,0.000412749
78,485.52,2.29513,2.28284,1.15774,0.12387,0.1015,0.05712,0.02346,2.99867,3.05214,1.40835,0.000396246,0.000396246,0.000396246
79,491.791,2.14825,1.97892,1.15148,0.1349,0.0968,0.05564,0.02292,2.96225,3.13966,1.39667,0.000379743,0.000379743,0.000379743
80,497.999,2.08185,1.93734,1.19025,0.10127,0.10432,0.03744,0.01531,2.95114,3.22718,1.42745,0.000363239,0.000363239,0.000363239
81,504.195,2.08363,1.85889,1.19452,0.0989,0.10338,0.04372,0.01711,2.931,3.24805,1.38552,0.000346736,0.000346736,0.000346736
82,510.441,2.11572,1.87656,1.17562,0.13211,0.1109,0.0714,0.02994,2.87089,3.11468,1.36684,0.000330233,0.000330233,0.000330233
83,516.644,2.34876,2.92253,1.18951,0.13868,0.11466,0.07369,0.03075,2.87473,3.02401,1.35782,0.000313729,0.000313729,0.000313729
84,522.995,2.22539,2.17816,1.18464,0.1368,0.1101,0.06559,0.0265,2.9089,3.01127,1.36614,0.000297226,0.000297226,0.000297226
85,529.211,2.1385,2.0329,1.12418,0.13962,0.11184,0.0674,0.027,2.92337,2.99894,1.37503,0.000280723,0.000280723,0.000280723
86,535.408,2.12855,1.95758,1.1759,0.63366,0.09868,0.06083,0.02465,2.96424,3.06168,1.39599,0.00026422,0.00026422,0.00026422
87,541.58,2.24622,2.18451,1.19514,0.65369,0.09586,0.06583,0.0259,2.95444,3.07653,1.40301,0.000247716,0.000247716,0.000247716
88,547.729,2.17619,2.38353,1.22714,0.14824,0.09774,0.06405,0.0269,2.93036,3.02336,1.41439,0.000231213,0.000231213,0.000231213
89,553.938,2.20469,2.03121,1.12186,0.15418,0.10056,0.06707,0.02805,2.91594,2.97717,1.40349,0.00021471,0.00021471,0.00021471
90,560.173,2.10353,2.04745,1.19491,0.14796,0.10034,0.07351,0.03119,2.91351,2.91213,1.39668,0.000198206,0.000198206,0.000198206
91,570.092,1.82109,5.02099,1.00063,0.14272,0.10287,0.07412,0.03084,2.92297,2.89557,1.38837,0.000181703,0.000181703,0.000181703
92,576.271,2.34604,2.22162,1.18222,0.12919,0.09774,0.06184,0.02627,2.93264,2.8846,1.38951,0.0001652,0.0001652,0.0001652
93,582.429,2.13728,3.42687,1.21762,0.13498,0.08929,0.05007,0.02035,2.93834,2.93014,1.39129,0.000148696,0.000148696,0.000148696
94,588.573,2.15699,2.94975,1.22386,0.08842,0.04417,0.02624,0.0098,2.95324,3.24125,1.39353,0.000132193,0.000132193,0.000132193
95,594.68,2.12988,2.89335,1.15983,0.02498,0.15977,0.02286,0.00846,2.96531,3.3478,1.39626,0.00011569,0.00011569,0.00011569
96,600.762,1.91931,2.79252,1.05273,0.01849,0.16165,0.02413,0.00887,2.96065,3.38592,1.39826,9.91865e-05,9.91865e-05,9.91865e-05
97,606.947,2.01245,2.56584,1.13467,0.11073,0.07299,0.029,0.0113,2.94272,3.25573,1.39349,8.26832e-05,8.26832e-05,8.26832e-05
98,613.117,2.21044,2.38956,1.25375,0.6315,0.06203,0.03708,0.0147,2.93754,3.11575,1.39026,6.61799e-05,6.61799e-05,6.61799e-05
99,619.221,1.92927,2.9477,1.0889,0.62801,0.07237,0.04,0.01609,2.93797,3.0771,1.39679,4.96766e-05,4.96766e-05,4.96766e-05
100,625.402,2.14783,2.56369,1.213,0.6271,0.08929,0.04714,0.01908,2.9483,2.9704,1.40259,3.31733e-05,3.31733e-05,3.31733e-05
